Thread ID: 2148303280
Total: 0.027374

 %self     total     self     wait    child    calls  name
  0.06      0.00     0.00     0.00     0.00        1  Time#strftime
  0.06      0.00     0.00     0.00     0.00        5  Kernel#send(d4)
  0.06      0.00     0.00     0.00     0.00        2  ActionView::Base#_set_controller_content_type
  0.06      0.00     0.00     0.00     0.00        3  Mime::Type::AcceptItem#==
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Request#accepts
  0.06      0.00     0.00     0.00     0.00        7  <Class::Time>#allocate
  0.06      0.00     0.00     0.00     0.00        3  ActiveSupport::CoreExtensions::Hash::ReverseMerge#reverse_merge
  0.06      0.00     0.00     0.00     0.00        3  SQLite3::Driver::Native::Driver#column_text
  0.06      0.00     0.00     0.00     0.00        1  Array#inspect
  0.06      0.02     0.00     0.00     0.02        1  ActionController::Routing::RouteSet#call
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Response#etag=
  0.06      0.02     0.00     0.00     0.02        1  ActiveRecord::ConnectionAdapters::ConnectionManagement#call
  0.06      0.00     0.00     0.00     0.00        2  ActionController::Base#controller_path
  0.06      0.00     0.00     0.00     0.00        1  ActionController::ProcessWithTest#set_test_assigns
  0.06      0.00     0.00     0.00     0.00        7  Kernel#inspect
  0.06      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#set_readonly_option!
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Flash::InstanceMethods#flash
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Session::AbstractStore::SessionHash#stale_session_check!
  0.06      0.00     0.00     0.00     0.00        3  <Class::ActiveRecord::Base>#scope
  0.06      0.00     0.00     0.00     0.00        1  Rack::Lint#check_headers
  0.05      0.00     0.00     0.00     0.00        4  String#sub!
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Base#request_origin
  0.05      0.00     0.00     0.00     0.00        1  Class#new_without_capture
  0.05      0.00     0.00     0.00     0.00        1  ActionView::Base#view_paths=
  0.05      0.02     0.00     0.00     0.02        1  Rack::Head#call
  0.05      0.00     0.00     0.00     0.00        4  ActionView::Base#template=
  0.05      0.00     0.00     0.00     0.00        8  Kernel#nil?
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Response#content_type=
  0.05      0.00     0.00     0.00     0.00        1  ActionView::Base#initialize
  0.05      0.01     0.00     0.00     0.01        2  ActionView::Renderable#render_without_template_tracking
  0.05      0.00     0.00     0.00     0.00        1  ActionController::MimeResponds::Responder#xml
  0.05      0.00     0.00     0.00     0.00        1  ActionView::Helpers::AssetTagHelper#rewrite_asset_path
  0.05      0.00     0.00     0.00     0.00        3  ActiveRecord::ConnectionAdapters::ConnectionPool#connected_without_synchronization?
