Thread ID: 2148303280
Total: 0.021298

 %self     total     self     wait    child    calls  name
  0.11      0.01     0.00     0.00     0.01        1  ActionController::Filters::InstanceMethods#call_filters
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Layout#candidate_for_layout?
  0.11      0.00     0.00     0.00     0.00        2  ActionController::Base#default_template_name
  0.11      0.00     0.00     0.00     0.00        2  <Class::OpenSSL::HMAC>#hexdigest
  0.11      0.00     0.00     0.00     0.00       14  NilClass#to_s
  0.11      0.00     0.00     0.00     0.00       27  Fixnum#<
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Session::CookieStore#load_session
  0.11      0.00     0.00     0.00     0.00        1  Rack::Request#cookies
  0.11      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        4  ActionController::Request#request_method
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#to_plain_segments
  0.11      0.00     0.00     0.00     0.00        1  ActionView::Helpers::FormTagHelper#submit_tag
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#recognize
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Response#handle_conditional_get!
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Base#assign_shortcuts
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Integration::Session#requestify
  0.11      0.00     0.00     0.00     0.00        4  ActiveSupport::BufferedLogger#info
  0.11      0.00     0.00     0.00     0.00        4  ActionController::Layout#default_template_format
  0.11      0.00     0.00     0.00     0.00        8  <Class::ActiveRecord::Base>#connection_handler
  0.11      0.00     0.00     0.00     0.00       10  Mime::Type#to_sym
  0.10      0.00     0.00     0.00     0.00        4  MonitorMixin#mon_acquire
  0.10      0.00     0.00     0.00     0.00        1  Array#sort!
  0.10      0.00     0.00     0.00     0.00        2  ActiveSupport::Callbacks::Callback#call
  0.10      0.01     0.00     0.00     0.01        1  ActionView::Base#render
  0.10      0.00     0.00     0.00     0.00        2  <Module::Rack::Utils>#parse_nested_query
  0.10      0.00     0.00     0.00     0.00        5  Array#include?
  0.10      0.00     0.00     0.00     0.00        2  ActionController::Base#default_template
  0.10      0.00     0.00     0.00     0.00        1  ActionController::Request#path
  0.10      0.00     0.00     0.00     0.00        1  Time#strftime
  0.10      0.00     0.00     0.00     0.00        1  ActionView::Helpers::ActiveRecordHelper#error_messages_for
  0.10      0.00     0.00     0.00     0.00        3  Array#-
  0.10      0.00     0.00     0.00     0.00        2  ActiveSupport::MessageVerifier#generate_digest
  0.10      0.00     0.00     0.00     0.00       11  Array#shift
  0.10      0.00     0.00     0.00     0.00        1  Array#uniq!
  0.10      0.02     0.00     0.00     0.02        1  ActionController::Integration::Runner#get
  0.10      0.02     0.00     0.00     0.02        1  ActiveRecord::QueryCache::ClassMethods#cache
  0.10      0.00     0.00     0.00     0.00        3  ActiveRecord::AttributeMethods::ClassMethods#match_attribute_method?
  0.10      0.00     0.00     0.00     0.00        5  Object#present?
  0.09      0.00     0.00     0.00     0.00        1  ActiveSupport::Inflector#humanize
  0.09      0.00     0.00     0.00     0.00        1  ActionView::Helpers::InstanceTag#tag
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Response#initialize
  0.09      0.00     0.00     0.00     0.00        4  <Class::ActiveRecord::Base>#retrieve_connection
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_parameters
  0.09      0.00     0.00     0.00     0.00        1  MonitorMixin::ConditionVariable#signal
  0.09      0.00     0.00     0.00     0.00        3  <Module::I18n>#locale
  0.09      0.00     0.00     0.00     0.00        8  Module#name
  0.09      0.00     0.00     0.00     0.00        2  ActiveSupport::CoreExtensions::Hash::Except#except!
  0.09      0.00     0.00     0.00     0.00        6  Class#inheritable_attributes
  0.09      0.00     0.00     0.00     0.00        3  ActionView::Template#path_without_format_and_extension
  0.09      0.00     0.00     0.00     0.00        1  <Class::ActionView::Helpers::InstanceTag>#value_before_type_cast
  0.09      0.02     0.00     0.00     0.02        4  Kernel#__send__(d1)
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Layout#pick_layout
  0.09      0.00     0.00     0.00     0.00        2  ActionView::Renderable#compile
  0.09      0.01     0.00     0.00     0.01        1  <Class::ActionController::Base>#call
  0.09      0.00     0.00     0.00     0.00        1  ActionView::Helpers::InstanceTag#content_tag
  0.09      0.00     0.00     0.00     0.00       11  String#to_sym
  0.09      0.00     0.00     0.00     0.00        1  ActiveSupport::MessageVerifier#secure_compare
  0.09      0.00     0.00     0.00     0.00        2  ActionView::Base#_set_controller_content_type
  0.09      0.00     0.00     0.00     0.00        5  ActiveSupport::CoreExtensions::Hash::ReverseMerge#reverse_merge
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Layout#default_layout
  0.08      0.00     0.00     0.00     0.00        7  ActionView::Helpers::InstanceTag#object
  0.08      0.01     0.00     0.00     0.01        1  ThingsController#new
  0.08      0.00     0.00     0.00     0.00        4  HashWithIndifferentAccess#delete
  0.08      0.00     0.00     0.00     0.00        4  <Class::ActiveRecord::Base>#connection
  0.08      0.02     0.00     0.00     0.02        1  ActiveRecord::ConnectionAdapters::QueryCache#cache
  0.08      0.00     0.00     0.00     0.00        3  Kernel#send(d4)
  0.08      0.01     0.00     0.00     0.01        6  Kernel#send(d3)
  0.08      0.00     0.00     0.00     0.00        1  ActionView::Base#_copy_ivars_from_controller
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Request#accepts
  0.08      0.00     0.00     0.00     0.00        2  ActionController::Request#request_uri
  0.08      0.00     0.00     0.00     0.00        1  Rack::Request#GET
  0.08      0.01     0.00     0.00     0.01        1  ActionController::Flash::InstanceMethods#perform_action
  0.08      0.00     0.00     0.00     0.00        3  ActionController::RecordIdentifier#singular_class_name
  0.08      0.00     0.00     0.00     0.00        3  ActiveRecord::AttributeMethods::ClassMethods#generated_methods?
